Gene	alpha	beta	gamma	delta	epsilon	zeta	eta	theta	iota
5S_rRNA	0.0	0.0	0.0	0.0	5.07	35.35	0.0	0.0	0.0
5_8S_rRNA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
7SK	0.0	0.34	0.0	0.0	0.39	0.0	0.0	0.0	2.06
A1BG	31.01	5.32	9.94	2.3	3.62	23.27	8.06	0.34	1.98
A1BG-AS1	8.41	4.78	6.13	0.75	1.37	8.19	5.98	2.07	0.32
A1CF	0.0	0.0	0.04	0.0	0.08	0.29	0.0	0.01	0.0
A2M	0.89	277.97	28.98	2.98	6.56	28.22	306.63	44.7	4.1
A2M-AS1	0.09	1.29	0.94	0.08	0.82	1.75	1.34	0.0	0.1
A2ML1	0.0	0.0	0.0	0.0	0.08	0.0	0.0	0.0	0.0
A2ML1-AS1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
A2ML1-AS2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
A2MP1	0.0	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.0
A3GALT2	0.37	0.23	0.0	0.0	0.14	0.0	0.0	0.0	0.0
A4GALT	15.97	0.14	8.99	29.75	16.11	78.14	9.09	0.57	0.91
A4GNT	0.0	0.02	0.0	0.0	0.13	0.06	0.0	0.14	0.14
AA06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AAAS	57.4	48.3	73.52	80.28	37.28	40.77	57.11	44.18	19.48
AACS	13.14	11.4	23.07	6.46	18.86	20.74	5.64	4.2	4.65
AACSP1	0.0	0.02	0.05	0.0	0.01	0.0	0.0	0.0	0.05
AADAC	0.0	0.0	0.0	0.0	0.15	2.48	0.0	0.0	0.0
AADACL2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AADACL2-AS1	0.0	0.0	0.0	0.0	0.48	0.0	0.0	0.0	0.0
AADACL3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AADACL4	0.0	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.0
AADACP1	0.0	0.02	0.0	0.0	0.08	5.63	0.0	0.0	0.0
AADAT	1.7	15.62	27.98	9.39	21.73	14.4	23.5	7.12	9.08
