Gene	alpha	beta	gamma	delta	epsilon	zeta	eta	theta	iota
AAED1	20.53	14.4	17.1	6.36	18.21	17.96	31.8	11.61	17.1
AAGAB	27.66	14.85	31.7	31.99	31.23	40.09	35.63	25.09	45.58
AAK1	14.22	11.5	22.52	14.09	23.71	39.34	32.46	7.46	16.95
AAMDC	30.92	18.18	52.57	63.56	38.12	12.9	34.05	5.8	38.2
AAMP	66.97	109.16	93.25	36.02	82.25	108.39	151.7	103.03	164.83
AANAT	0.36	0.15	0.13	0.0	0.0	0.03	0.0	0.0	0.0
AAR2	10.66	13.53	31.34	31.5	47.16	24.23	21.2	17.77	10.95
AARD	0.85	2.3	2.04	0.0	0.3	0.65	0.0	0.0	0.0
AARS	111.79	41.53	105.59	32.74	52.22	54.29	103.27	26.54	65.55
AARS2	12.65	32.25	35.65	77.61	24.13	6.09	7.62	14.25	6.65
AARSD1	64.33	44.63	29.74	81.63	40.6	44.85	30.06	58.2	31.53
AARSP1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AASDH	5.46	5.72	11.29	3.63	6.32	4.73	10.48	2.47	4.44
AASDHPPT	16.83	13.85	81.64	19.83	38.16	13.32	18.49	30.91	26.05
AASS	0.56	21.81	12.09	15.41	8.55	22.65	14.96	3.7	7.89
AATBC	0.87	0.16	0.41	0.0	0.94	7.2	0.56	0.14	0.02
AATF	52.47	40.3	29.54	50.96	54.75	44.89	24.96	36.05	39.33
AATK	0.16	0.19	0.87	0.0	0.05	0.23	0.0	0.0	0.13
AATK-AS1	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.0
AB015752.3	0.0	0.0	0.0	2.37	0.38	0.0	0.0	0.0	0.0
AB019438.66	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AB019440.50	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AB019441.29	1.17	0.57	0.84	0.23	1.66	1.11	0.17	0.09	0.22
ABALON	0.32	0.44	2.38	1.98	1.35	1.33	0.74	0.21	0.1
ABAT	0.56	0.15	3.61	1.45	5.0	4.79	7.49	0.19	0.01
ABBA01017803.1	0.3	0.36	0.24	0.0	0.22	0.27	0.07	0.08	0.04
ABC12-47043100G14.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ABC12-47964100C23.1	0.26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ABC12-49244600F4.4	0.54	0.16	0.05	0.0	0.0	0.54	4.49	0.0	0.0
ABC14-1080714F14.1	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0
ABC7-42391500H16.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ABC7-42404400C24.1	0.22	0.39	0.5	0.0	10.89	0.65	8.45	0.0	0.92
ABC7-42418200C9.1	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.0
ABC7-481722F1.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ABCA1	1.5	1.15	2.03	5.54	4.72	19.69	10.36	5.68	7.79
ABCA10	5.9	5.76	0.04	1.97	0.29	1.33	0.52	0.2	0.23
ABCA11P	7.11	4.61	6.78	3.93	4.87	2.15	1.71	1.32	1.71
ABCA12	0.03	0.17	0.0	0.0	0.06	0.02	0.09	0.0	0.05
ABCA13	3.75	0.56	0.1	0.03	0.17	0.5	0.47	0.03	0.0
ABCA17P	0.09	0.34	0.17	0.0	0.14	0.25	0.57	0.11	0.32
ABCA2	18.84	93.97	27.26	7.13	10.42	3.61	17.6	11.95	24.65
ABCA3	0.17	0.07	9.82	0.16	0.09	0.32	3.01	1.3	21.32
ABCA4	3.84	0.19	2.77	3.62	0.03	0.26	1.92	0.02	2.19
ABCA5	42.48	23.9	7.95	14.43	7.57	22.88	11.8	4.38	15.48
ABCA6	7.0	1.85	0.08	0.49	2.9	6.81	0.63	0.0	0.04
ABCA7	11.24	3.12	7.6	3.55	2.3	3.53	16.03	2.37	14.68
ABCA8	13.71	44.37	0.0	0.14	0.4	0.61	2.63	0.0	0.0
ABCA9	3.18	1.89	0.01	0.38	0.15	0.5	0.35	0.0	0.02
ABCA9-AS1	0.13	0.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ABCB1	0.0	2.5	1.74	0.0	0.35	8.29	0.0	0.37	0.0
ABCB10	3.75	1.85	6.76	4.4	7.32	8.69	3.51	4.72	3.09
ABCB10P1	0.0	0.01	0.94	0.0	0.0	0.0	0.0	0.0	0.0
ABCB10P3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ABCB10P4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ABCB11	0.0	0.0	0.01	0.0	0.03	0.02	0.33	0.13	0.0
ABCB4	0.66	3.96	7.37	1.99	1.75	15.55	1.77	2.23	2.84
ABCB5	0.17	0.0	0.09	0.31	2.19	0.0	2.7	0.01	0.0
ABCB6	25.61	18.33	21.34	9.14	34.9	13.94	15.57	10.36	39.41
ABCB7	19.61	26.73	17.29	14.78	45.87	17.3	35.86	26.42	17.34
ABCB8	42.42	34.43	10.16	39.21	31.52	36.51	43.21	15.8	19.51
ABCB9	11.98	11.62	7.36	3.67	5.26	35.89	7.06	3.52	2.61
ABCC1	11.4	8.49	8.27	22.55	24.47	19.46	23.95	21.13	9.05
ABCC10	21.44	15.39	43.97	125.61	18.3	11.88	16.0	7.57	6.26
ABCC11	0.11	0.12	0.09	0.13	0.08	0.07	0.29	0.17	0.08
ABCC12	0.86	0.0	0.0	0.0	0.0	0.0	0.0	0.35	0.0
ABCC13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.0
ABCC2	1.65	0.07	0.36	0.24	0.39	0.39	0.47	0.02	0.77
ABCC3	3.37	1.75	0.81	18.44	5.98	0.73	3.51	3.14	2.85
ABCC4	4.55	2.93	7.62	6.6	5.24	5.0	18.17	2.13	3.8
ABCC5	9.61	28.01	14.18	15.56	14.54	35.61	10.54	10.98	6.41
ABCC5-AS1	0.0	0.0	0.0	0.0	0.0	0.44	0.0	0.0	0.0
ABCC6	2.83	0.17	4.99	0.0	1.49	1.67	1.36	0.23	1.13
ABCC6P1	0.4	0.0	2.08	0.0	0.48	1.31	0.65	1.14	0.02
ABCC6P2	2.75	0.22	2.65	0.0	0.82	7.6	0.0	0.21	0.0
ABCC8	0.0	0.0	7.26	0.0	0.06	0.42	0.25	0.0	0.04
ABCC9	0.01	11.58	0.21	0.0	0.43	0.21	0.06	0.16	0.11
ABCD1	2.17	13.15	7.1	10.6	4.27	5.79	27.11	3.04	3.7
ABCD1P2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ABCD1P3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ABCD1P4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ABCD1P5	0.0	0.08	0.0	0.0	0.3	0.0	0.0	0.0	0.0
ABCD2	0.0	3.46	0.64	0.0	0.06	0.01	2.41	0.01	0.1
ABCD3	17.31	21.76	21.71	17.56	34.71	15.84	30.18	5.01	8.87
ABCD4	28.22	52.72	108.87	90.3	35.77	63.03	38.91	9.29	13.01
ABCE1	52.28	30.27	85.1	23.12	105.47	55.08	88.5	77.45	81.83
ABCF1	65.31	65.22	101.67	86.12	59.48	56.47	105.78	114.01	87.5
ABCF2	54.44	37.75	28.89	47.51	61.12	30.26	31.81	52.81	53.63
ABCF2P1	0.0	0.0	0.17	0.0	0.07	0.0	0.2	0.0	0.0
ABCF2P2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ABCF3	31.71	58.1	52.79	30.2	33.48	55.05	39.29	37.5	26.35
ABCG1	0.0	0.03	0.86	0.02	3.42	38.01	1.27	1.09	0.42
ABCG2	0.11	1.44	1.06	0.76	1.93	3.44	1.94	0.84	0.07
ABCG4	0.23	0.2	4.06	2.37	0.32	0.04	0.29	0.05	0.4
ABCG5	0.03	0.0	0.06	0.0	0.09	0.02	0.0	0.01	0.0
ABCG8	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0
ABHD1	0.7	0.99	7.3	0.32	0.77	1.13	0.0	0.13	1.81
ABHD10	9.31	25.56	17.95	6.98	23.96	15.32	20.42	22.21	13.16
ABHD11	27.19	12.97	23.04	7.33	6.83	15.41	6.88	4.09	2.84
ABHD11-AS1	0.57	0.18	0.36	0.0	0.07	0.23	0.0	0.0	0.03
ABHD12	27.62	24.56	54.61	33.64	73.79	140.69	25.47	11.05	8.33
ABHD12B	0.11	0.17	1.4	0.0	0.89	0.0	5.4	0.0	0.27
ABHD13	2.8	0.89	3.18	3.66	40.21	10.77	5.11	1.34	1.08
ABHD14A	14.87	40.46	33.93	9.03	13.71	20.5	6.45	7.6	10.19
ABHD14A-ACY1	0.71	1.06	0.43	0.0	0.15	0.78	0.0	0.78	0.24
ABHD14B	17.03	24.44	14.3	12.85	15.48	48.13	8.65	12.55	9.74
ABHD15	3.89	4.53	4.6	4.28	6.25	4.09	4.09	1.3	2.6
ABHD15-AS1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ABHD16A	46.34	26.0	44.14	49.63	45.31	50.05	25.87	19.37	19.25
ABHD16B	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ABHD17A	30.67	40.65	19.85	17.77	31.23	39.69	6.53	7.73	7.28
ABHD17AP1	0.0	0.27	0.11	0.0	0.0	0.0	0.0	0.0	0.03
ABHD17AP3	0.33	0.08	0.0	0.0	0.43	0.0	0.0	0.0	0.0
ABHD17AP4	0.0	0.35	1.53	0.0	0.6	0.0	0.0	0.0	0.0
ABHD17AP5	0.06	0.0	0.78	0.0	0.0	0.0	0.0	0.0	0.0
ABHD17AP6	0.34	0.06	3.25	0.0	4.48	0.05	0.0	1.94	0.58
ABHD17AP9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ABHD17B	6.91	2.8	2.81	3.25	13.25	16.9	5.31	3.66	6.42
ABHD17C	3.85	3.13	5.45	5.04	8.89	4.31	2.08	2.27	2.91
ABHD2	25.92	32.95	13.53	28.25	25.09	17.35	64.17	7.53	8.39
ABHD3	20.35	10.86	13.02	6.25	16.69	42.94	7.78	1.34	11.02
ABHD4	33.2	46.47	40.65	51.0	65.32	12.29	63.33	17.48	12.75
ABHD5	9.41	9.53	13.66	7.51	9.69	11.46	17.37	3.57	5.73
ABHD6	2.25	2.85	6.04	3.47	4.89	10.57	1.82	1.45	3.15
ABHD8	5.42	1.89	7.98	3.06	5.7	7.62	9.29	0.74	1.98
ABI1	14.38	22.75	42.42	22.18	108.66	43.68	43.89	12.37	26.87
ABI2	18.22	43.32	52.67	28.97	43.15	74.26	80.41	26.46	49.53
ABI3	0.37	0.48	4.34	0.03	4.57	2.83	1.33	0.58	1.62
ABI3BP	94.67	83.0	9.04	45.52	0.63	0.45	60.02	0.16	2.91
ABL1	18.07	61.33	24.72	37.68	43.98	43.47	34.17	10.74	17.02
ABL2	36.58	8.68	9.4	25.42	27.0	68.79	30.48	9.16	14.47
ABLIM1	9.21	5.37	11.53	3.05	7.94	7.21	13.1	2.21	9.46
ABLIM2	0.0	0.0	3.02	0.0	0.29	0.13	1.52	0.36	0.42
ABLIM3	11.14	11.18	3.19	17.24	12.75	60.47	2.88	0.1	0.02
ABO	0.0	0.0	2.79	0.0	0.04	0.02	0.28	0.0	0.0
ABR	44.64	25.61	139.49	45.04	42.4	52.51	32.87	16.77	26.12
ABRA	0.09	0.0	0.05	0.11	0.0	0.07	0.0	0.0	0.03
ABRACL	14.66	7.52	12.11	22.16	41.83	27.49	17.37	18.79	33.43
ABT1	12.15	9.99	19.2	12.67	9.44	14.91	9.03	12.65	9.77
ABT1P1	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.0
ABTB1	19.12	16.03	15.62	18.75	10.16	48.45	12.38	6.45	4.46
ABTB2	6.75	8.05	1.31	4.85	1.85	10.3	1.34	0.91	0.44
AC000003.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC000029.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC000032.2	0.71	0.39	0.0	0.0	0.23	0.0	0.0	0.0	0.66
AC000035.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC000036.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC000041.10	0.0	6.58	6.5	0.0	0.0	0.0	0.0	0.0	0.0
AC000041.8	0.0	0.0	0.0	0.0	0.0	0.0	12.34	0.0	12.14
AC000067.1	0.73	0.0	0.0	2.15	0.15	0.0	0.0	0.0	0.0
AC000068.10	0.76	1.7	1.9	0.0	1.0	0.3	0.0	0.0	0.0
AC000068.5	0.31	0.21	0.67	0.41	0.35	0.96	0.72	0.13	0.15
AC000068.9	0.45	3.18	3.89	6.38	1.19	0.44	18.42	4.71	3.14
AC000077.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC000078.5	0.35	1.72	0.34	3.84	1.06	0.52	3.85	0.0	0.0
AC000081.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC000089.3	0.76	0.08	0.36	0.0	1.1	0.57	0.0	0.03	0.1
AC000095.11	0.0	0.15	0.0	0.0	0.15	0.0	0.0	0.0	0.0
AC000095.9	0.0	0.0	0.0	0.0	0.15	0.0	0.0	0.0	0.34
AC000099.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC000110.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02
AC000111.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC000111.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC000111.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC000111.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC000120.7	0.77	0.51	0.17	0.0	0.31	0.52	0.0	0.09	0.0
AC000123.2	3.03	0.76	1.11	0.55	1.93	1.76	0.75	0.51	2.42
AC000123.3	4.73	2.98	1.59	9.3	3.1	5.68	1.99	0.43	3.51
AC000123.4	2.19	0.41	0.66	0.0	1.88	3.49	0.0	0.0	0.33
AC000124.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC000354.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC000362.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC000367.1	0.0	0.0	0.0	0.0	0.0	0.03	0.39	0.0	0.0
AC000370.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC000374.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC000403.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC000403.4	0.07	0.83	0.92	0.06	0.12	0.0	0.74	0.32	0.06
AC001226.7	0.0	0.83	0.28	0.0	0.0	0.48	0.0	0.34	0.0
AC002044.1	0.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC002044.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC002044.4	0.0	0.0	0.0	0.0	0.77	0.0	0.0	0.0	0.0
AC002056.3	0.0	0.26	0.0	0.85	0.08	0.22	0.1	0.04	0.08
AC002056.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC002059.10	0.0	1.23	0.22	0.0	0.08	0.43	0.0	0.0	0.0
AC002064.4	0.0	0.0	0.0	0.0	0.15	0.0	0.0	0.0	0.0
AC002064.5	0.0	0.0	0.31	0.0	0.0	0.0	0.0	0.0	0.0
AC002064.7	0.0	0.0	0.0	0.0	0.12	0.49	0.0	0.0	0.0
AC002066.1	0.0	0.0	0.0	0.0	0.05	0.0	4.43	0.0	0.46
AC002069.5	0.0	0.0	0.0	0.0	0.0	0.0	0.32	0.0	0.0
AC002069.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC002070.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC002072.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC002075.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC002075.4	0.54	0.52	2.33	1.89	1.4	0.0	0.28	1.9	0.0
AC002076.10	0.0	0.0	0.39	0.0	0.0	0.0	0.0	0.0	0.0
AC002115.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC002115.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC002116.7	1.42	0.35	2.57	0.0	0.85	1.69	0.67	0.48	0.36
AC002116.8	3.25	1.95	0.89	1.96	0.0	0.0	0.0	0.0	0.0
AC002117.1	0.0	0.58	0.0	0.0	0.0	0.0	1.59	0.0	0.0
AC002127.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC002127.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC002128.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC002306.1	0.0	0.0	0.0	0.0	0.19	0.0	0.0	0.0	0.0
AC002310.10	0.0	0.0	0.0	0.0	0.35	0.0	0.0	0.0	0.28
AC002310.11	0.0	0.0	0.89	0.0	0.13	0.0	0.0	0.0	0.0
AC002310.12	1.15	1.38	1.85	1.81	1.35	0.51	1.84	0.4	2.2
AC002310.13	0.0	0.0	0.97	0.0	0.0	0.4	0.0	0.97	1.26
AC002310.14	0.78	0.58	1.31	0.09	1.09	1.3	0.36	0.24	1.47
AC002310.17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC002310.7	0.0	0.25	0.0	0.0	0.22	0.0	0.0	0.0	0.23
AC002314.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC002331.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC002366.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC002366.3	0.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC002368.4	0.0	0.0	0.31	0.0	0.0	0.0	0.0	0.0	0.0
AC002383.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC002386.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC002389.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC002395.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC002398.11	0.92	0.03	0.27	0.26	0.67	0.92	0.0	0.14	0.48
AC002398.12	8.08	5.26	2.06	36.54	4.0	0.0	12.0	0.31	0.0
AC002398.13	1.62	1.97	2.29	2.49	1.55	0.85	1.8	0.8	0.0
AC002398.9	6.83	1.45	10.59	15.04	10.3	10.61	0.83	0.0	0.0
AC002400.1	0.0	0.26	0.06	0.0	0.15	0.0	0.0	0.41	0.0
AC002401.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC002429.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC002429.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC002429.5	0.09	0.24	0.0	0.52	0.0	0.0	0.18	0.02	0.0
AC002451.3	1.38	0.08	0.0	0.0	0.0	0.0	0.0	0.37	0.0
AC002454.1	8.15	0.59	1.02	0.0	5.71	19.94	0.0	0.0	0.0
AC002456.2	6.14	13.96	1.73	0.35	1.75	4.64	0.0	2.88	3.1
AC002463.3	0.04	0.12	0.0	0.0	0.03	0.0	0.0	0.0	0.0
AC002464.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC002465.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC002467.7	2.26	2.65	4.43	2.77	1.92	4.38	0.25	2.13	3.22
AC002472.11	0.34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC002480.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC002480.3	0.06	0.01	0.03	0.0	0.0	0.05	0.03	0.0	0.0
AC002480.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC002480.5	0.0	0.0	0.0	0.0	0.0	0.14	0.0	0.0	0.0
AC002486.2	0.0	0.0	0.17	0.0	0.0	0.0	0.0	0.0	0.0
AC002486.3	0.2	0.0	0.31	0.0	0.0	0.0	0.0	0.0	0.0
AC002511.2	0.0	0.0	0.0	0.0	0.0	0.16	0.0	0.0	0.0
AC002511.3	0.0	0.0	0.0	0.0	0.0	0.75	0.0	0.0	0.0
AC002519.6	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.0
AC002519.8	0.02	0.01	0.01	0.0	0.11	0.05	0.42	0.0	0.0
AC002523.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC002530.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC002539.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC002539.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC002542.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC002543.2	0.0	0.0	0.0	0.0	0.0	0.1	0.13	0.0	0.0
AC002550.5	0.0	0.0	0.0	0.0	0.0	0.43	0.0	0.0	0.0
AC002550.6	0.59	0.0	0.0	0.0	1.61	1.95	0.0	0.64	0.0
AC002551.1	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.0	0.0
AC002553.4	0.0	0.0	0.0	0.0	0.0	0.51	0.0	0.0	0.0
AC002558.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC002978.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC002979.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC002981.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC002984.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC002985.3	0.0	0.1	0.4	0.0	0.2	0.0	0.0	0.0	0.0
AC003001.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC003002.4	0.0	0.0	0.0	0.0	0.0	0.0	0.6	0.0	0.0
AC003002.6	0.0	0.0	0.22	0.0	0.5	0.13	2.02	0.0	0.0
AC003003.5	0.0	0.01	0.0	0.0	0.01	0.02	0.0	0.0	0.0
AC003005.2	0.0	0.0	0.3	0.0	0.35	0.0	1.01	0.0	0.0
AC003005.4	0.0	0.31	0.0	0.0	0.14	0.0	1.24	0.0	0.0
AC003006.1	0.0	0.0	0.0	0.0	2.9	0.0	0.0	0.0	0.0
AC003006.7	0.37	3.25	0.0	3.54	0.2	0.95	3.56	0.13	1.48
AC003009.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC003045.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC003075.4	0.25	0.0	0.0	0.0	0.22	0.0	0.0	0.0	0.0
AC003080.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC003084.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC003088.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC003090.1	0.33	0.13	2.42	0.0	0.56	0.36	0.0	0.0	0.13
AC003092.1	0.0	0.0	0.06	0.0	0.3	0.71	0.0	0.0	0.0
AC003092.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC003101.1	0.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC003104.1	0.03	0.22	0.0	0.0	0.23	1.76	0.0	0.14	0.25
AC003658.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC003664.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC003666.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC003681.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC003682.16	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.22
AC003682.17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.39	0.0
AC003688.1	0.0	10.22	16.21	0.0	0.0	0.0	0.0	0.0	0.0
AC003956.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC003958.2	0.0	0.0	0.0	0.0	0.09	0.0	0.0	0.0	0.0
AC003958.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC003968.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC003973.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC003973.3	0.29	0.87	0.0	0.0	0.0	0.0	9.42	1.27	0.0
AC003973.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC003973.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC003984.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC003985.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
